               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11257,            0.026539,                   0,           0.0010417,             0.17857,           0.0014215,          0.00028204,            0.099499,            0.016779,                   0,              0.0901,              0.0011,              0.0011
                   1,             0.10106,            0.026347,                   0,           0.0018841,             0.46429,            0.010717,           0.0019008,            0.081266,            0.014763,                   0,            0.079272,           0.0022715,           0.0022715
                   2,            0.084465,            0.022904,                   0,           0.0017708,             0.60714,           0.0039351,           0.0012232,            0.071165,            0.013835,                   0,            0.068413,           0.0034134,           0.0034134
                   3,            0.081617,            0.024387,                   0,           0.0017054,             0.78571,            0.033052,            0.013376,            0.066706,            0.012059,                   0,            0.057526,           0.0045255,           0.0045255
                   4,            0.073256,            0.021735,                   0,           0.0069589,             0.78571,            0.019232,           0.0052253,            0.073058,            0.010338,                   0,            0.046608,           0.0056079,           0.0056079
                   5,            0.069788,            0.020139,                   0,             0.20308,             0.10714,             0.13068,            0.063469,            0.071438,           0.0089567,                   0,            0.035661,           0.0066607,           0.0066607
                   6,            0.067075,            0.023298,                   0,             0.40794,             0.31997,             0.30526,             0.14646,            0.054255,           0.0091259,                   0,            0.024684,           0.0076837,           0.0076837
                   7,            0.065766,            0.021468,                   0,             0.34868,             0.39286,             0.29485,             0.12501,            0.049271,            0.010544,                   0,            0.013677,           0.0086771,           0.0086771
                   8,            0.066422,            0.019347,                   0,             0.30217,             0.39286,             0.31696,             0.16106,            0.054803,           0.0096812,                   0,             0.00901,             0.00901,             0.00901
                   9,            0.059842,            0.017244,                   0,             0.38561,             0.28571,             0.30936,             0.14153,            0.046002,            0.010154,                   0,             0.00901,             0.00901,             0.00901
                  10,            0.054821,            0.021189,                   0,             0.35346,             0.39056,             0.31672,             0.19972,            0.046376,           0.0089426,                   0,           0.0088863,           0.0088863,           0.0088863
                  11,            0.052984,            0.014209,                   0,             0.29877,             0.46429,             0.31839,             0.15283,            0.054583,           0.0077119,                   0,           0.0087625,           0.0087625,           0.0087625
                  12,            0.054717,            0.016348,                   0,             0.58114,             0.57143,             0.51124,             0.25904,            0.047529,           0.0066806,                   0,           0.0086388,           0.0086388,           0.0086388
                  13,            0.048465,            0.013663,                   0,             0.56591,                 0.5,              0.5347,             0.20488,            0.039881,           0.0068144,                   0,            0.008515,            0.008515,            0.008515
                  14,            0.047706,             0.01867,                   0,              0.4112,             0.57143,             0.42939,             0.22432,            0.047305,           0.0082166,                   0,           0.0083913,           0.0083913,           0.0083913
                  15,            0.047643,             0.01239,                   0,             0.55584,             0.67061,             0.59955,             0.26508,            0.038171,           0.0075408,                   0,           0.0082675,           0.0082675,           0.0082675
                  16,              0.0443,            0.011252,                   0,             0.63426,             0.71429,             0.62968,             0.36576,            0.037161,           0.0059198,                   0,           0.0081437,           0.0081437,           0.0081437
                  17,            0.046609,            0.013818,                   0,              0.5392,             0.67857,             0.65357,             0.31178,            0.037511,           0.0083385,                   0,             0.00802,             0.00802,             0.00802
                  18,            0.047536,            0.013945,                   0,             0.60597,             0.53571,             0.66837,             0.36464,            0.039725,           0.0060766,                   0,           0.0078963,           0.0078963,           0.0078963
                  19,            0.045166,             0.01314,                   0,             0.60386,             0.57143,             0.55592,              0.3226,            0.040433,           0.0062349,                   0,           0.0077725,           0.0077725,           0.0077725
                  20,            0.047214,            0.011963,                   0,              0.5439,                 0.5,             0.50413,             0.34536,            0.033174,           0.0052038,                   0,           0.0076488,           0.0076488,           0.0076488
                  21,            0.042373,            0.011108,                   0,             0.52511,             0.64286,             0.54477,             0.29729,            0.036143,           0.0054189,                   0,            0.007525,            0.007525,            0.007525
                  22,            0.040537,            0.010448,                   0,             0.56926,             0.61377,             0.64594,             0.41036,            0.028696,             0.00513,                   0,           0.0074013,           0.0074013,           0.0074013
                  23,            0.044951,           0.0090339,                   0,              0.6035,             0.71429,             0.64962,             0.35333,            0.038024,           0.0048079,                   0,           0.0072775,           0.0072775,           0.0072775
                  24,            0.043938,             0.01095,                   0,              0.7102,             0.60714,             0.64283,             0.38671,             0.03422,            0.004741,                   0,           0.0071538,           0.0071538,           0.0071538
                  25,             0.04358,            0.011526,                   0,             0.74296,             0.64286,             0.67905,             0.37241,            0.039404,           0.0042975,                   0,             0.00703,             0.00703,             0.00703
                  26,            0.042541,            0.010141,                   0,             0.65438,             0.57143,             0.67255,             0.37841,            0.035938,            0.003887,                   0,           0.0069063,           0.0069063,           0.0069063
                  27,            0.040659,           0.0082385,                   0,             0.71065,             0.70202,             0.73318,             0.52904,            0.029519,           0.0038685,                   0,           0.0067825,           0.0067825,           0.0067825
                  28,            0.038032,           0.0097325,                   0,             0.76463,             0.64286,             0.75363,             0.49798,            0.031237,           0.0042775,                   0,           0.0066587,           0.0066587,           0.0066587
                  29,            0.040911,            0.010419,                   0,             0.67622,                0.75,             0.79137,             0.51132,             0.03093,            0.003926,                   0,            0.006535,            0.006535,            0.006535
                  30,            0.040176,           0.0083132,                   0,             0.66459,             0.77859,             0.77079,             0.51521,            0.028798,           0.0039312,                   0,           0.0064112,           0.0064112,           0.0064112
                  31,            0.038303,            0.008735,                   0,             0.70774,             0.82143,             0.81774,             0.53306,            0.027217,           0.0038192,                   0,           0.0062875,           0.0062875,           0.0062875
                  32,            0.035797,           0.0082548,                   0,             0.65964,             0.83081,             0.78983,             0.53757,            0.026543,           0.0037425,                   0,           0.0061637,           0.0061637,           0.0061637
                  33,            0.035589,            0.010474,                   0,              0.7185,                0.75,              0.7688,             0.50969,            0.027009,           0.0038805,                   0,             0.00604,             0.00604,             0.00604
                  34,            0.035555,           0.0099447,                   0,              0.8448,             0.64286,             0.76221,             0.55666,            0.026344,           0.0037782,                   0,           0.0059163,           0.0059163,           0.0059163
                  35,            0.036602,           0.0083528,                   0,             0.73444,                0.75,             0.77402,             0.55004,            0.025208,           0.0035821,                   0,           0.0057925,           0.0057925,           0.0057925
                  36,            0.034553,           0.0083987,                   0,             0.78163,             0.71429,             0.77295,             0.53233,            0.024474,           0.0034991,                   0,           0.0056688,           0.0056688,           0.0056688
                  37,            0.034595,           0.0083881,                   0,             0.69163,             0.85714,             0.79301,             0.57439,            0.026207,           0.0033234,                   0,            0.005545,            0.005545,            0.005545
                  38,             0.03624,            0.006492,                   0,             0.78637,             0.82143,             0.84123,             0.56527,            0.027326,           0.0032159,                   0,           0.0054212,           0.0054212,           0.0054212
                  39,            0.035011,           0.0072256,                   0,             0.71218,             0.88392,              0.8099,             0.50081,            0.029839,           0.0033261,                   0,           0.0052975,           0.0052975,           0.0052975
                  40,            0.035217,           0.0085814,                   0,             0.74856,             0.78571,             0.80236,             0.52915,            0.029222,           0.0034056,                   0,           0.0051737,           0.0051737,           0.0051737
                  41,            0.035002,           0.0081295,                   0,               0.745,             0.73072,             0.79858,             0.58827,            0.024526,           0.0035398,                   0,             0.00505,             0.00505,             0.00505
                  42,            0.033631,           0.0060183,                   0,             0.69644,             0.81945,             0.76492,             0.55542,            0.024145,           0.0038546,                   0,           0.0049263,           0.0049263,           0.0049263
                  43,            0.034349,           0.0062024,                   0,             0.67214,             0.78571,             0.71754,             0.51754,            0.024644,           0.0040523,                   0,           0.0048025,           0.0048025,           0.0048025
                  44,            0.032089,           0.0065125,                   0,             0.77229,                0.75,             0.74405,             0.54004,            0.024872,           0.0038088,                   0,           0.0046788,           0.0046788,           0.0046788
                  45,            0.032058,            0.007514,                   0,             0.70302,                0.75,             0.74856,             0.54191,            0.026627,           0.0036727,                   0,            0.004555,            0.004555,            0.004555
                  46,            0.030027,            0.006547,                   0,             0.73466,             0.71429,             0.74641,             0.54659,            0.024649,           0.0036063,                   0,           0.0044313,           0.0044313,           0.0044313
                  47,            0.031662,           0.0091187,                   0,              0.7138,             0.71429,             0.74938,             0.54883,             0.02316,           0.0036384,                   0,           0.0043075,           0.0043075,           0.0043075
                  48,            0.031991,           0.0080265,                   0,             0.70707,             0.77609,             0.76832,             0.55323,            0.023661,           0.0035519,                   0,           0.0041837,           0.0041837,           0.0041837
                  49,            0.028833,           0.0075461,                   0,             0.66789,             0.78571,             0.75697,             0.57109,            0.024797,           0.0035089,                   0,             0.00406,             0.00406,             0.00406
                  50,            0.032626,           0.0073676,                   0,             0.70377,             0.71429,             0.73035,             0.56456,            0.027069,           0.0037037,                   0,           0.0039362,           0.0039362,           0.0039362
                  51,            0.029283,            0.007064,                   0,             0.77762,             0.64286,             0.77914,             0.56672,            0.024628,            0.003537,                   0,           0.0038125,           0.0038125,           0.0038125
                  52,            0.029804,           0.0098916,                   0,             0.77917,             0.67857,             0.80933,             0.57872,            0.025909,           0.0034983,                   0,           0.0036888,           0.0036888,           0.0036888
                  53,            0.029353,           0.0061906,                   0,             0.84294,             0.64286,             0.79664,             0.59831,            0.022739,           0.0035176,                   0,            0.003565,            0.003565,            0.003565
                  54,            0.030482,           0.0081666,                   0,             0.58654,             0.86139,             0.77348,             0.59765,            0.022215,           0.0036466,                   0,           0.0034413,           0.0034413,           0.0034413
                  55,            0.026949,           0.0058058,                   0,             0.73931,             0.71429,             0.76206,             0.58269,            0.022754,           0.0037348,                   0,           0.0033175,           0.0033175,           0.0033175
                  56,            0.027499,           0.0073271,                   0,             0.62278,             0.88462,             0.75711,             0.59339,            0.022093,             0.00375,                   0,           0.0031938,           0.0031938,           0.0031938
                  57,            0.028595,           0.0084354,                   0,             0.63903,             0.88533,             0.75464,             0.58282,            0.022272,           0.0036625,                   0,             0.00307,             0.00307,             0.00307
                  58,            0.026192,           0.0069206,                   0,             0.63378,             0.89286,             0.76934,             0.58342,            0.021205,           0.0035932,                   0,           0.0029462,           0.0029462,           0.0029462
                  59,            0.027047,           0.0056233,                   0,               0.608,             0.89286,             0.77271,             0.59543,            0.021593,           0.0034409,                   0,           0.0028225,           0.0028225,           0.0028225
                  60,            0.028213,           0.0084744,                   0,             0.73986,             0.71429,              0.7781,             0.58527,            0.021309,           0.0034207,                   0,           0.0026987,           0.0026987,           0.0026987
                  61,            0.026247,           0.0067408,                   0,             0.72905,             0.71429,             0.77229,             0.59465,            0.020726,           0.0034159,                   0,            0.002575,            0.002575,            0.002575
                  62,            0.028299,            0.007294,                   0,              0.7161,             0.81102,             0.77546,             0.60623,            0.020328,           0.0033214,                   0,           0.0024513,           0.0024513,           0.0024513
                  63,            0.022303,           0.0053395,                   0,              0.7402,             0.78571,             0.78351,             0.59579,            0.020331,           0.0033193,                   0,           0.0023275,           0.0023275,           0.0023275
                  64,            0.025515,           0.0068246,                   0,             0.71256,             0.79707,             0.78664,             0.59697,            0.019811,           0.0033827,                   0,           0.0022038,           0.0022038,           0.0022038
                  65,             0.02628,           0.0060735,                   0,             0.69847,             0.85714,             0.80028,             0.61595,            0.020124,           0.0034093,                   0,             0.00208,             0.00208,             0.00208
                  66,            0.026532,           0.0070947,                   0,             0.68659,             0.86073,             0.79379,             0.61037,            0.019591,           0.0035933,                   0,           0.0019563,           0.0019563,           0.0019563
                  67,            0.025961,           0.0069545,                   0,             0.73199,             0.78049,             0.76259,             0.58699,            0.019346,            0.003664,                   0,           0.0018325,           0.0018325,           0.0018325
                  68,            0.027338,           0.0066504,                   0,             0.70027,             0.71429,             0.74635,             0.57323,            0.020135,           0.0038925,                   0,           0.0017087,           0.0017087,           0.0017087
                  69,            0.027155,           0.0056197,                   0,             0.83226,             0.60714,              0.7252,             0.56212,            0.021305,           0.0040098,                   0,            0.001585,            0.001585,            0.001585
                  70,            0.027881,           0.0070395,                   0,             0.85819,             0.57143,             0.72969,             0.54166,            0.022375,           0.0040345,                   0,           0.0014612,           0.0014612,           0.0014612
                  71,            0.024979,           0.0058263,                   0,              0.8678,             0.57143,             0.71805,             0.54068,            0.021836,           0.0040422,                   0,           0.0013375,           0.0013375,           0.0013375
                  72,            0.027621,           0.0067032,                   0,             0.69507,             0.73296,             0.70995,             0.54588,            0.021393,           0.0040175,                   0,           0.0012138,           0.0012138,           0.0012138
                  73,            0.025664,           0.0078961,                   0,             0.69476,                0.75,             0.71801,             0.55378,            0.021337,           0.0039754,                   0,             0.00109,             0.00109,             0.00109
                  74,            0.025932,           0.0060811,                   0,             0.69146,                0.75,              0.7361,             0.54894,            0.021566,           0.0039263,                   0,          0.00096625,          0.00096625,          0.00096625
                  75,            0.021199,           0.0046661,                   0,             0.70093,                0.75,             0.74272,             0.56407,             0.02132,            0.003917,                   0,           0.0008425,           0.0008425,           0.0008425
                  76,            0.026523,           0.0061006,                   0,             0.69223,                0.75,             0.74941,             0.57078,            0.021229,           0.0039132,                   0,          0.00071875,          0.00071875,          0.00071875
                  77,            0.022302,           0.0066462,                   0,             0.70393,              0.7645,             0.76287,             0.59218,            0.021138,           0.0039256,                   0,            0.000595,            0.000595,            0.000595
                  78,            0.023529,           0.0068671,                   0,             0.68409,                0.75,             0.75928,             0.58597,             0.02098,           0.0039369,                   0,          0.00047125,          0.00047125,          0.00047125
                  79,            0.023326,            0.006578,                   0,             0.69136,             0.71429,             0.75665,             0.59221,            0.021142,           0.0039469,                   0,           0.0003475,           0.0003475,           0.0003475
